id,identifier,id_type,struct_id,parent_match
1056799,DB00536,DRUGBANK_ID,1344,
1056800,DB00537,DRUGBANK_ID,659,
1056801,DB00538,DRUGBANK_ID,4147,
1056802,DB00539,DRUGBANK_ID,2709,
1056803,DB00540,DRUGBANK_ID,1971,
1056804,DB00541,DRUGBANK_ID,2825,
1056805,DB00542,DRUGBANK_ID,299,
1056806,DB00543,DRUGBANK_ID,191,
1056807,DB00544,DRUGBANK_ID,26,
1056808,DB00545,DRUGBANK_ID,2330,
1056809,DB00546,DRUGBANK_ID,93,
1056810,DB00547,DRUGBANK_ID,819,
1056811,DB00548,DRUGBANK_ID,270,
1056812,DB00549,DRUGBANK_ID,2855,
1056813,DB00550,DRUGBANK_ID,2308,
1056814,DB00551,DRUGBANK_ID,58,
1056815,DB00552,DRUGBANK_ID,2098,
1056816,DB00553,DRUGBANK_ID,30,
1056817,DB00554,DRUGBANK_ID,2210,
1056818,DB00555,DRUGBANK_ID,1540,
1056819,DB00556,DRUGBANK_ID,2104,
1056820,DB00557,DRUGBANK_ID,1400,
1056821,DB00558,DRUGBANK_ID,2859,
1056822,DB00559,DRUGBANK_ID,392,
1056823,DB00560,DRUGBANK_ID,2661,
1056824,DB00561,DRUGBANK_ID,953,
1056825,DB00562,DRUGBANK_ID,332,
1056826,DB00563,DRUGBANK_ID,1751,
1056827,DB00564,DRUGBANK_ID,489,
1056828,DB00565,DRUGBANK_ID,661,
1056829,DB00566,DRUGBANK_ID,2486,
1056830,DB00567,DRUGBANK_ID,571,
1056831,DB00568,DRUGBANK_ID,654,
1056832,DB00569,DRUGBANK_ID,1236,
1056833,DB00570,DRUGBANK_ID,2823,
1056834,DB00571,DRUGBANK_ID,2303,
1056835,DB00572,DRUGBANK_ID,260,
1056836,DB00573,DRUGBANK_ID,1154,
1056837,DB00574,DRUGBANK_ID,1150,
1056838,DB00575,DRUGBANK_ID,704,
1056839,DB00576,DRUGBANK_ID,2512,
1056840,DB00577,DRUGBANK_ID,2798,
1056841,DB00578,DRUGBANK_ID,492,
1056842,DB00579,DRUGBANK_ID,1640,
1056843,DB00580,DRUGBANK_ID,2799,
895280,7814,IUPHAR_LIGAND_ID,5188,
895281,D10770,KEGG_DRUG,5189,
895282,D01084,KEGG_DRUG,5190,
895283,D00977,KEGG_DRUG,5193,
872248,D10453,KEGG_DRUG,5186,
872249,9172,IUPHAR_LIGAND_ID,5183,
872250,7540,IUPHAR_LIGAND_ID,5179,
872251,4886,IUPHAR_LIGAND_ID,5175,
1052495,D002697,MESH_DESCRIPTOR_UI,586,f
1052496,D002698,MESH_DESCRIPTOR_UI,3086,f
1052497,D002699,MESH_DESCRIPTOR_UI,588,f
1052498,D002701,MESH_DESCRIPTOR_UI,589,f
1052499,D002707,MESH_DESCRIPTOR_UI,594,f
1052500,D002710,MESH_DESCRIPTOR_UI,597,f
1052501,D002714,MESH_DESCRIPTOR_UI,598,f
1052502,D002715,MESH_DESCRIPTOR_UI,600,f
1052503,D002717,MESH_DESCRIPTOR_UI,4911,f
1052504,D002719,MESH_DESCRIPTOR_UI,602,f
1052505,D002720,MESH_DESCRIPTOR_UI,603,f
1052506,D002724,MESH_DESCRIPTOR_UI,3092,f
1052507,D002725,MESH_DESCRIPTOR_UI,4363,f
1052508,D002727,MESH_DESCRIPTOR_UI,2282,f
1052509,D002738,MESH_DESCRIPTOR_UI,607,f
1052510,D002740,MESH_DESCRIPTOR_UI,609,f
1052511,D002741,MESH_DESCRIPTOR_UI,610,f
1052512,D002743,MESH_DESCRIPTOR_UI,614,t
1052513,D002744,MESH_DESCRIPTOR_UI,616,f
1052514,D002745,MESH_DESCRIPTOR_UI,618,f
1052515,D002746,MESH_DESCRIPTOR_UI,621,f
1052516,D002747,MESH_DESCRIPTOR_UI,622,f
1052517,D002749,MESH_DESCRIPTOR_UI,623,f
1052518,D002750,MESH_DESCRIPTOR_UI,3095,f
1052519,D002751,MESH_DESCRIPTOR_UI,624,f
1052520,D002752,MESH_DESCRIPTOR_UI,625,f
1052521,D002753,MESH_DESCRIPTOR_UI,626,f
1052522,D002762,MESH_DESCRIPTOR_UI,2840,f
1052523,D002766,MESH_DESCRIPTOR_UI,4945,f
1052524,D002794,MESH_DESCRIPTOR_UI,3097,f
1052525,D002866,MESH_DESCRIPTOR_UI,3098,f
